timestamp,elapsed_s,fps,cpu_pct,system_cpu_pct,rss_mb,mem_available_mb,mem_used_pct,cpu_temp_c,throttled_hex,frames,grab_fails,motion_skips,aruco_calls,aruco_avg_ms,aruco_min_ms,aruco_max_ms,yolo_calls,yolo_avg_ms,yolo_min_ms,yolo_max_ms
2026-08-27 23:26:50,5.0,14.3,225.2,61.1,129.7,1338,27.6,58.4,0x50005,72,0,0,24,19.5,4.6,28.0,12,215.4,114.8,256.2
2026-08-27 23:26:55,5.1,14.2,227.6,60.9,129.7,1336,27.7,58.4,0x50005,72,0,0,24,21.6,7.4,28.4,12,214.5,178.8,244.4
2026-08-27 23:27:00,5.1,14.1,226.9,62.0,129.7,1338,27.6,57.9,0x50005,72,0,0,24,21.4,9.6,35.4,12,217.5,89.8,256.7
2026-08-27 23:27:05,5.0,15.0,231.0,63.1,129.7,1340,27.5,57.5,0x50005,75,0,0,25,20.7,7.2,27.0,12,216.4,101.3,258.0
2026-08-27 23:27:10,5.1,13.6,237.4,65.9,129.7,1337,27.6,58.9,0x50005,69,0,0,23,22.4,6.9,29.0,12,233.6,183.8,260.8
2026-08-27 23:27:15,5.2,13.9,217.7,61.3,129.7,1335,27.8,58.9,0x50000,72,0,0,24,19.9,7.1,29.6,12,223.5,120.0,333.8
2026-08-27 23:27:20,5.1,9.3,219.1,77.2,129.7,1328,28.1,58.4,0x50005,48,0,0,16,26.2,10.2,60.0,8,439.4,163.0,899.4
2026-08-27 23:27:25,5.0,14.3,236.8,65.2,129.7,1330,28.0,57.9,0x50005,72,0,0,24,22.0,7.0,31.9,12,225.6,140.6,266.2
2026-08-27 23:27:31,5.1,14.2,216.6,60.4,129.7,1333,27.8,58.9,0x50005,72,0,0,24,20.8,6.9,32.9,12,209.9,103.0,250.4
2026-08-27 23:27:36,5.1,14.2,227.2,62.4,129.7,1333,27.9,58.9,0x50005,72,0,0,24,20.5,7.2,33.7,12,220.5,153.4,252.6
2026-08-27 23:27:41,5.1,14.2,213.4,59.0,129.7,1331,28.0,58.9,0x50005,72,0,0,24,19.4,7.0,33.5,12,205.4,105.5,267.7
2026-08-27 23:27:46,5.0,15.0,222.7,60.5,129.7,1333,27.9,58.9,0x50005,75,0,0,25,18.8,6.7,35.3,12,210.4,128.7,259.2
2026-08-27 23:27:51,5.0,14.0,211.8,58.3,129.7,1333,27.8,58.9,0x50005,70,0,0,23,20.3,6.9,32.5,12,205.8,100.5,262.0
2026-08-27 23:27:56,5.1,13.8,216.0,59.7,129.7,1331,27.9,58.4,0x50005,71,0,0,24,22.1,6.8,36.5,12,209.8,122.3,251.0
2026-08-27 23:28:01,5.1,14.1,208.7,57.5,129.7,1335,27.7,58.9,0x50005,72,0,0,24,20.3,6.9,33.1,12,201.5,103.8,258.8
2026-08-27 23:28:06,5.0,14.3,217.7,60.2,129.7,1326,28.2,59.4,0x50005,72,0,0,24,22.1,6.8,32.3,12,206.3,92.8,267.2
2026-08-27 23:28:11,5.0,14.3,211.5,57.8,129.7,1330,28.0,58.4,0x50005,72,0,0,24,22.2,6.9,36.8,12,200.1,96.3,254.2
2026-08-27 23:28:16,5.1,14.2,201.2,55.3,129.7,1330,28.0,58.9,0x50005,72,0,0,24,19.1,6.8,30.1,12,193.0,104.5,252.7
2026-08-27 23:28:22,6.0,10.9,216.3,70.1,129.7,1316,28.8,58.9,0x50005,66,0,0,22,21.3,7.0,34.7,11,346.6,134.2,1025.1
2026-08-27 23:28:27,5.0,10.7,208.2,70.8,129.7,1322,28.5,59.9,0x50005,54,0,0,18,22.6,6.8,66.4,9,352.7,89.0,945.5
2026-08-27 23:31:54,5.3,12.4,189.8,55.8,130.4,1301,29.6,55.5,0x50005,66,0,0,22,19.7,4.0,29.2,11,207.2,116.9,266.3
2026-08-27 23:31:59,5.1,14.1,203.1,53.9,130.9,1319,28.6,55.5,0x50005,72,0,0,24,19.4,4.2,28.5,12,190.0,90.5,262.6
2026-08-27 23:32:04,5.1,14.2,212.5,57.8,131.0,1328,28.1,56.0,0x50005,72,0,0,24,19.7,6.8,26.7,12,199.4,101.7,249.6
2026-08-27 23:32:09,5.0,14.3,205.5,56.2,131.0,1331,28.0,56.5,0x50005,72,0,0,24,18.0,4.2,28.6,12,191.8,102.4,252.3
2026-08-27 23:32:15,5.0,14.3,215.7,59.1,131.0,1333,27.8,56.0,0x50005,72,0,0,24,20.3,6.8,28.0,12,199.2,110.2,233.7
2026-08-27 23:32:20,5.1,14.2,214.5,59.6,131.1,1331,28.0,57.0,0x50005,72,0,0,24,19.4,6.7,27.7,12,206.5,136.8,251.0
2026-08-27 23:32:25,5.0,14.3,210.6,58.1,131.1,1332,27.9,57.0,0x50005,72,0,0,24,17.9,6.8,33.4,12,199.2,94.7,254.8
2026-08-27 23:32:30,5.0,14.3,211.0,57.4,131.1,1331,28.0,57.5,0x50005,72,0,0,24,19.2,6.9,28.9,12,197.8,95.0,255.3
2026-08-27 23:32:35,5.1,14.2,213.6,58.1,131.1,1330,28.0,56.5,0x50005,72,0,0,24,17.9,6.7,26.4,12,203.5,102.7,246.6
2026-08-27 23:32:40,5.1,14.2,207.7,57.6,131.1,1330,28.0,57.0,0x50005,72,0,0,24,17.2,6.7,28.8,12,197.9,113.7,246.7
2026-08-27 23:32:45,5.0,14.3,203.4,56.1,131.1,1331,28.0,57.0,0x50005,72,0,0,24,18.5,6.8,30.3,12,188.1,97.4,245.3
2026-08-27 23:32:50,5.1,14.3,226.6,62.8,131.1,1329,28.1,57.9,0x50005,72,0,0,24,19.3,6.9,28.3,12,214.4,117.0,244.2
2026-08-27 23:32:55,5.0,14.8,220.0,60.2,131.1,1327,28.2,58.4,0x50000,74,0,0,24,18.4,6.9,28.3,12,208.7,109.3,261.0
2026-08-27 23:33:00,5.0,14.0,223.7,61.1,131.1,1331,27.9,57.9,0x50005,70,0,0,24,19.2,4.4,27.9,12,211.5,107.8,249.7
2026-08-27 23:33:05,5.2,13.8,233.1,63.4,131.1,1333,27.8,57.5,0x50005,72,0,0,24,21.5,9.0,34.1,12,226.1,131.4,253.9
2026-08-27 23:33:10,5.0,14.3,223.0,60.3,131.1,1327,28.2,57.9,0x50005,72,0,0,24,21.6,9.5,31.4,12,203.9,93.7,252.6
2026-08-27 23:33:15,5.1,14.2,231.3,63.3,131.1,1330,28.0,57.5,0x50005,72,0,0,24,19.4,7.0,26.5,12,221.6,148.8,256.0
2026-08-27 23:33:20,5.1,14.0,227.1,63.0,131.1,1330,28.0,57.0,0x50005,72,0,0,24,20.1,7.0,34.8,12,219.2,123.3,290.5
2026-08-27 23:33:25,5.0,14.3,230.9,62.8,131.1,1335,27.8,56.0,0x50005,72,0,0,24,19.8,6.9,27.6,12,217.8,191.5,239.9
2026-08-27 23:33:30,5.1,14.3,220.3,60.2,131.1,1330,28.0,57.9,0x50005,72,0,0,24,19.7,6.8,27.8,12,206.7,95.0,247.9
2026-08-27 23:33:35,5.1,14.2,222.4,61.0,131.1,1335,27.7,57.9,0x50005,72,0,0,24,18.6,6.9,26.7,12,210.4,97.8,251.5
2026-08-27 23:33:41,5.1,14.2,230.8,62.0,131.2,1334,27.8,57.5,0x50000,72,0,0,24,20.9,6.9,28.2,12,217.6,132.9,268.6
2026-08-27 23:33:46,5.1,14.1,212.9,58.8,131.2,1333,27.9,57.9,0x50005,72,0,0,24,20.9,6.9,35.6,12,199.8,88.4,233.6
2026-08-27 23:33:51,5.1,14.2,229.7,62.1,131.2,1333,27.9,58.9,0x50005,72,0,0,24,20.1,7.0,27.1,12,215.1,151.3,239.2
2026-08-27 23:33:56,5.1,14.2,230.3,63.1,131.2,1332,27.9,58.9,0x50005,72,0,0,24,20.3,6.8,29.6,12,219.0,107.5,249.2
2026-08-27 23:34:01,5.2,13.8,225.3,63.9,131.2,1330,28.0,57.5,0x50005,72,0,0,24,20.4,9.3,33.8,12,225.5,106.3,378.7
2026-08-27 23:34:06,5.0,14.3,231.7,63.4,131.2,1335,27.7,58.9,0x50000,72,0,0,24,19.4,6.8,27.3,12,220.3,129.9,264.0
2026-08-27 23:34:11,5.1,14.1,229.4,62.7,131.2,1332,27.9,58.4,0x50005,72,0,0,24,19.5,6.9,27.4,12,218.1,150.6,257.1
2026-08-27 23:34:16,5.2,13.9,230.4,64.4,131.2,1332,27.9,57.9,0x50005,72,0,0,24,20.4,6.8,28.6,12,234.3,149.2,313.3
2026-08-27 23:34:21,5.1,14.1,226.9,63.9,131.2,1328,28.1,60.4,0x50005,72,0,0,24,20.6,6.9,28.9,12,220.5,110.3,303.9
